word;context;year;file_path;original_token;target_position;context_length;signature;hash
inboorling;en wert alleen veel van de candidaten gefpro ocken, fonder darmen weet wie de prijs -_1 treeken. twee van de voornaemfte weydwoodfchappen fouden tot een inboorlingh inclineeren, en ftaet te vermoeden , dat meer andere wel ghelijcke ghedachten mochten krijgen. het fchijn., dat de cleftie wat gheprolongeert is, foo dat den;1674;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_16xx/1674/05/03/DDD_ddd_010899017_mpeg21/DDD_010899017_0004_articletext.xml;inboorlingh;25;51;wert alleen veel candidaten gefpro ocken fonder darmen weet wie prijs treeken twee voornaemfte weydwoodfchappen fouden inboorlingh inclineeren ftaet vermoeden meer andere wel ghelijcke ghedachten mochten krijgen fchijn cleftie wat gheprolongeert foo den;b0650bd6f6f03a6b8e2fc06942de6791
inboorling;inirum haer de arme voegende by de derde party , de 1 andere overftemde met de reden dat niet eqsntabelcr. was dan dat men een inboorlingh tot defe waerdigheyt veihicf.en, was daei op les ghenocgfaem pr.ompt, en met gemeene ftenime yolbiichr.tan hier. is niet naitti ot dit jrrael tot nieuws. van;1674;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_16xx/1674/06/09/DDD_ddd_010899033_mpeg21/DDD_010899033_0005_articletext.xml;inboorlingh;25;51;inirum haer arme voegende derde party andere overftemde reden niet eqsntabelcr was dan men inboorlingh defe waerdigheyt veihicfen was daei les ghenocgfaem prompt gemeene ftenime yolbiichrtan hier niet naitti dit jrrael nieuws;1272ae879d7a9c0bfa5efdf98dec7b35
inboorling;"laetften zijn den grave van salm tn den heermeiinr .caphiilairen van onfe hooft-kerck , hiei acncckomen als mede ecrgifteien den collonel van rotkirchea , een inboorling defer stad cn altijt dc kroon vranckrijck toegenegen geweeft, om na alle sppaxentiehaeracnonfenceurvorftte fubmitteren endoor datm;ddel hare beneficien , elf ften en goederen te behouden.";1689;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_16xx/1689/03/29/DDD_ddd_011225996_mpeg21/DDD_011225996_0002_articletext.xml;inboorling;25;51;laetften zijn den grave salm den heermeiinr caphiilairen onfe hooftkerck hiei acncckomen als mede ecrgifteien den collonel rotkirchea inboorling defer stad altijt kroon vranckrijck toegenegen geweeft alle sppaxentiehaeracnonfenceurvorftte fubmitteren endoor datmddel hare beneficien elf ften goederen behouden;f5a7739ddb8115911315f8273ea6c86b
inboorling;"laetflen zijn den grave an sa! tn den hecrmoinp capiuilairen van onfc hooft-kerck , hier acncckomen ; alsmede ecrgifteien den collonel van rotkirchea , een inboorling defer stad en altijt de kroon vranckrijck toegenegen geweeft , om na alle apy arenttchaer aen opfen geurvorft te fubmitteren endoor datm;ddel hare beneficien ,";1689;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_16xx/1689/03/29/DDD_ddd_011225996_mpeg21/DDD_011225996_0006_articletext.xml;inboorling;25;51;laetflen zijn den grave den hecrmoinp capiuilairen onfc hooftkerck hier acncckomen alsmede ecrgifteien den collonel rotkirchea inboorling defer stad altijt kroon vranckrijck toegenegen geweeft alle apy arenttchaer aen opfen geurvorft fubmitteren endoor datmddel hare beneficien;dd7bc4f0eacfe17ef19e324c49eeff3c
inboorling;"enca fiiends van taua on door den meffeoger acndea jmarchal ea gevangen overgeleverr, vdaer is een pittem gepaficeir, om prins gtotyc van dencmarcken een vrye inboorling, van en gdandt te maecken ; elijck oock een andere, waer by aen de lad rachel ruftd ! .-de goederen en staren elcke door baer";1683;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_16xx/1683/10/07/DDD_ddd_011224935_mpeg21/DDD_011224935_0004_articletext.xml;inboorling,;25;51;enca fiiends taua den meffeoger acndea jmarchal gevangen overgeleverr vdaer pittem gepaficeir prins gtotyc dencmarcken vrye inboorling gdandt maecken elijck oock andere waer aen lad rachel ruftd goederen staren elcke baer;d30ba4e8f431ba65e426bc61b7ff8e61
inboorling;"de transgrelfie der ve rdragspunten, die door den voorigen koning fouden 1 mogen begaen zyn, van de erfgenamen fatisfaiftie fal eyfehen; dat geen piadus of inboorling verkooren worde; en dat de eleci ie door de pofpolite rufzenie of den adel te paerd fal moeten gefchieden.";1696;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_16xx/1696/09/04/DDD_ddd_010634015_mpeg21/DDD_010634015_0005_articletext.xml;inboorling;25;45;transgrelfie der rdragspunten die den voorigen koning fouden mogen begaen zyn erfgenamen fatisfaiftie fal eyfehen geen piadus inboorling verkooren worde eleci pofpolite rufzenie den adel paerd fal moeten gefchieden;63a4e43e307b025c9b75c472a478c562
inboorling;plaets adden does koraca, hare knechten en mooren,welcke 1500 man, en nevens de vrouwen en kinketen getal van 3 500. uytn aeckten. ali aga, een inboorling dts laats en goet sol act was commandant daer binnen , en de plaets van krijgs- en moot. munitie cn goet gefchut in overdoet voorfien;1685;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_16xx/1685/08/14/DDD_ddd_011225278_mpeg21/DDD_011225278_0001_articletext.xml;inboorling;25;51;plaets adden does koraca hare knechten moorenwelcke 1500 man nevens vrouwen kinketen getal 500 uytn aeckten ali aga inboorling dts laats goet sol act was commandant daer plaets krijgs moot munitie goet gefchut overdoet voorfien;71a18ed03d1e28726ab4275fe829ca74
inboorling;"hnyfen en nvijngacrden al vry feer ;verwoeft hadtfe. drie koopman is een gebooren hollander . macr wert, om dat hjr genaturalifeert is , als een inboorling gdiaadelr. van daer waren de soldates meeft vertrocken,na dat veele gereformeerde het volgende gefchrift onderteeckect hadden : acngenomtn monfr. . tot belijdenis des gelooft ,";1685;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_16xx/1685/09/27/DDD_ddd_011225297_mpeg21/DDD_011225297_0015_articletext.xml;inboorling;25;51;hnyfen nvijngacrden vry feer verwoeft hadtfe drie koopman gebooren hollander macr wert hjr genaturalifeert als inboorling gdiaadelr daer waren soldates meeft vertrockenna veele gereformeerde volgende gefchrift onderteeckect hadden acngenomtn monfr belijdenis des gelooft;c171adb0a61c236bd182cb9508c38519
inboorling;aen de poolfehe troupen in fijne votftcndommen de wiuteiquattieten 10c te daen. if. devacante amp.en niet acn vreemdelingen re geven. 12. het poolfch recht van inboorling , dat aen de saxifche familie gegeven is, alle: aen de keut-liftie ts blyven. 13. de keui tytd van aen poolfehen weg tedcen. 14. de;1698;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_16xx/1698/03/13/DDD_ddd_010759060_mpeg21/DDD_010759060_0005_articletext.xml;inboorling;25;51;aen poolfehe troupen fijne votftcndommen wiuteiquattieten 10c daen devacante ampen niet acn vreemdelingen geven poolfch recht inboorling aen saxifche familie gegeven alle aen keutliftie blyven keui tytd aen poolfehen weg tedcen;3a861e176df7acc3f945709c7584a06a
inboorling;"ly in stilte geraeckte; doch .nuerendaegs bracht ie sr. john weder op het ta- pmf en saf voor reden , dat den bifl chop geen inboorling van hec rijck en een van defiu fs boccken op ordre van het huys door handen van den scherprechter verbram is, . maer, als men";1699;/data/groups/trifecta/jiaqiz/downloaded_zip_delpher/kranten_pd_16xx/1699/05/23/DDD_ddd_011227549_mpeg21/DDD_011227549_0002_articletext.xml;inboorling;25;51;stilte geraeckte doch nuerendaegs bracht john weder pmf saf reden den bifl chop geen inboorling hec rijck defiu boccken ordre huys handen den scherprechter verbram maer als men;7e8bb94939002b496de9d50046d04786
