word,year,count
inboorling,1800,1
inboorling,1801,2
inboorling,1802,6
inboorling,1803,4
inboorling,1804,11
inboorling,1805,6
inboorling,1806,10
inboorling,1807,15
inboorling,1808,10
inboorling,1809,1
inboorling,1810,1
inboorling,1811,4
inboorling,1812,1
inboorling,1814,8
inboorling,1815,2
inboorling,1816,25
inboorling,1817,20
inboorling,1818,30
inboorling,1819,20
inboorling,1820,14
inboorling,1821,25
inboorling,1822,21
inboorling,1823,15
inboorling,1824,20
inboorling,1825,26
inboorling,1826,15
inboorling,1827,21
inboorling,1828,14
inboorling,1829,31
inboorling,1830,14
inboorling,1831,15
inboorling,1832,19
inboorling,1833,17
inboorling,1834,19
inboorling,1835,32
inboorling,1836,36
inboorling,1837,5
inboorling,1840,34
inboorling,1841,25
inboorling,1842,46
inboorling,1843,21
inboorling,1844,33
inboorling,1845,32
inboorling,1846,17
inboorling,1852,46
inboorling,1853,46
inboorling,1854,22
inboorling,1855,13
inboorling,1856,18
inboorling,1857,3
inboorling,1858,18
inboorling,1859,6
inboorling,1860,37
inboorling,1861,6
inboorling,1862,68
inboorling,1863,4
inboorling,1865,85
inboorling,1866,93
inboorling,1867,46
inboorling,1868,64
inboorling,1869,90
inboorling,1870,65
inboorling,1871,69
inboorling,1872,68
inboorling,1873,37
inboorling,1874,44
inboorling,1875,40
inboorling,1876,63
inboorling,1877,43
inboorling,1878,100
inboorling,1879,107
inboorlingen,1800,21
inboorlingen,1801,29
inboorlingen,1802,21
inboorlingen,1803,26
inboorlingen,1804,39
inboorlingen,1805,22
inboorlingen,1806,24
inboorlingen,1807,28
inboorlingen,1808,31
inboorlingen,1809,14
inboorlingen,1810,37
inboorlingen,1811,26
inboorlingen,1812,10
inboorlingen,1813,13
inboorlingen,1814,42
inboorlingen,1815,28
inboorlingen,1816,73
inboorlingen,1817,77
inboorlingen,1818,106
inboorlingen,1819,93
inboorlingen,1820,74
inboorlingen,1821,79
inboorlingen,1822,87
inboorlingen,1823,53
inboorlingen,1824,73
inboorlingen,1825,84
inboorlingen,1826,84
inboorlingen,1827,50
inboorlingen,1828,71
inboorlingen,1829,118
inboorlingen,1830,129
inboorlingen,1831,88
inboorlingen,1832,76
inboorlingen,1833,116
inboorlingen,1834,130
inboorlingen,1835,114
inboorlingen,1836,153
inboorlingen,1837,47
inboorlingen,1840,150
inboorlingen,1841,151
inboorlingen,1842,189
inboorlingen,1843,212
inboorlingen,1844,316
inboorlingen,1845,360
inboorlingen,1846,141
inboorlingen,1852,205
inboorlingen,1853,261
inboorlingen,1854,203
inboorlingen,1855,110
inboorlingen,1856,153
inboorlingen,1857,58
inboorlingen,1858,192
inboorlingen,1859,49
inboorlingen,1860,262
inboorlingen,1861,33
inboorlingen,1862,252
inboorlingen,1863,64
inboorlingen,1865,414
inboorlingen,1866,320
inboorlingen,1867,300
inboorlingen,1868,359
inboorlingen,1869,448
inboorlingen,1870,200
inboorlingen,1871,245
inboorlingen,1872,332
inboorlingen,1873,328
inboorlingen,1874,312
inboorlingen,1875,317
inboorlingen,1876,386
inboorlingen,1877,456
inboorlingen,1878,676
inboorlingen,1879,776
moor,1800,59
moor,1801,100
