word,line_number,left_context,keyword,right_context,full_line
moor,1,lers bel.end maken . de comier d : c wegens den,moor,"van den martpis p-juavicini , na conft.iniiiiop","lers bel.end maken . de comier d : c wegens den moor van den martpis p-juavicini , na conft.iniiiiop"
moor,2,illürs beleend maken . de comier die wegens den,moor,"van den manpis p^llavicini , na vjonftjiitiuo .","illürs beleend maken . de comier die wegens den moor van den manpis p^llavicini , na vjonftjiitiuo ."
moor,3,"rerdam.george ougrerlony van venetien , robbert",moor,"van nnntes , anrhonio da colta ribeiro van stok","rerdam.george ougrerlony van venetien , robbert moor van nnntes , anrhonio da colta ribeiro van stok"
moor,4,"en bieedc'cang tuflehen beyde , befloten meteen",moor,yzet hek ; ftaende ac roorl ' . huyzinge binnen,"en bieedc'cang tuflehen beyde , befloten meteen moor yzet hek ; ftaende ac roorl ' . huyzinge binnen"
moor,5,had vin onzen koning tot prefent onrfingen een,moor,", van een cxuaordinaiie grootte en wclgcraaekt","had vin onzen koning tot prefent onrfingen een moor , van een cxuaordinaiie grootte en wclgcraaekt"
moor,6,den gedilponeerd . alzo jutïr . hubberanet va »,moor,"ik. , jonge aii'bergen op den zoom , zig ledeit","den gedilponeerd . alzo jutïr . hubberanet va » moor ik. , jonge aii'bergen op den zoom , zig ledeit"
moor,7,"ï be , ... cvd ; -_n ecu va : : blacuvv zilvci",moor,", met goudwboril i 'goud i.il.-en gev.ertf ' ;","ï be , ... cvd ; -_n ecu va : : blacuvv zilvci moor , met goudwboril i 'goud i.il.-en gev.ertf ' ;"
moor,8,"l ) olphynen bezacyd , en een van blaeuw zilver",moor,"met gortd geborduiirt , en met goud laken gevoe","l ) olphynen bezacyd , en een van blaeuw zilver moor met gortd geborduiirt , en met goud laken gevoe"
moor,9,"n dolphijncn bezaeyt , en een van blacuw silver",moor,", met goud geborduurt en met goud laken gevoerd","n dolphijncn bezaeyt , en een van blacuw silver moor , met goud geborduurt en met goud laken gevoerd"
moor,10,andfc kanten ; een groote deke van blaeu silver,moor,in goud geborduurd met troplieen en sinnebeelde,andfc kanten ; een groote deke van blaeu silver moor in goud geborduurd met troplieen en sinnebeelde
moor,11,den 19 arriveerde dc spaenfc c.n-binet-courier,moor,"uyt spanje , en fette .de r ; ys aenllon'ts m w","den 19 arriveerde dc spaenfc c.n-binet-courier moor uyt spanje , en fette .de r ; ys aenllon'ts m w"
