word,decade,mean_sim,std_sim,n_comparisons,vector_size,window,min_count,sg
moor,1700,0.9069279750835835,0.06034160224904369,9,50,3,1,0
moor,1710,0.9074256040519101,0.06001175708646438,9,50,3,1,0
moor,1720,0.9275291487594056,0.024417576293481583,9,50,3,1,0
moor,1730,0.8731536465682919,0.024509101275244704,9,50,3,1,0
moor,1740,0.9262260077434077,0.024975499046452007,9,50,3,1,0
moor,1750,0.9281838391550858,0.021664928153309733,9,50,3,1,0
moor,1760,0.8981042335404685,0.02880092891725411,9,50,3,1,0
moor,1770,0.8815144590233557,0.033045332690022244,9,50,3,1,0
moor,1780,0.8964447590925594,0.028892089241970884,9,50,3,1,0
moor,1790,0.920766767466579,0.05077414154519824,9,50,3,1,0
inboorling,1700,0.2788463267569209,0.2800023997962144,9,50,3,1,0
inboorling,1710,0.0872118319433634,0.06579780740749101,9,50,3,1,0
inboorling,1720,0.34639749335213127,0.28034355997850874,9,50,3,1,0
inboorling,1730,0.2686458168980026,0.22400581176590365,9,50,3,1,0
inboorling,1740,0.4536234791766341,0.41057583066237624,9,50,3,1,0
inboorling,1750,0.48662567431984294,0.39979282600057825,9,50,3,1,0
inboorling,1760,0.5214086385380425,0.3778973139217696,9,50,3,1,0
inboorling,1770,0.5222085833339951,0.34297690266324987,9,50,3,1,0
inboorling,1780,0.529862129135854,0.37548614139980085,9,50,3,1,0
inboorling,1790,0.01054071606898246,0.2930864047034401,9,50,3,1,0
moor,1700,0.8539576138776742,0.047583770015393496,9,50,3,1,1
moor,1710,0.8641113900542599,0.042576534434414885,9,50,3,1,1
moor,1720,0.872956460332591,0.019434578466003674,9,50,3,1,1
moor,1730,0.8571335917104719,0.019814999525660168,9,50,3,1,1
moor,1740,0.8555078781898628,0.02599400995973765,9,50,3,1,1
moor,1750,0.8818492880022298,0.012367466141360266,9,50,3,1,1
moor,1760,0.842877174535152,0.030734821645982142,9,50,3,1,1
moor,1770,0.8634777924006662,0.02465368033101541,9,50,3,1,1
moor,1780,0.8545455209419159,0.017747877148706993,9,50,3,1,1
moor,1790,0.8780887168704727,0.03175309916629319,9,50,3,1,1
inboorling,1700,0.511273733040929,0.1455383695543572,9,50,3,1,1
inboorling,1710,0.29589762580789525,0.08896731660700923,9,50,3,1,1
inboorling,1720,0.6865185389201348,0.18150581699285695,9,50,3,1,1
inboorling,1730,0.6809251897029917,0.17175491224094142,9,50,3,1,1
inboorling,1740,0.6424904915238954,0.24027500984741731,9,50,3,1,1
inboorling,1750,0.6790748836621452,0.21066245844120635,9,50,3,1,1
inboorling,1760,0.6748436040611455,0.2178393495880321,9,50,3,1,1
inboorling,1770,0.7044206424391466,0.1982688300134001,9,50,3,1,1
inboorling,1780,0.6842200324031611,0.21503090172050265,9,50,3,1,1
inboorling,1790,0.33227786474723253,0.13948594834765976,9,50,3,1,1
